Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28172363,OTHER,302,13033906562,PRJNA1082417,SAMN40210240,Metagenome or environmental,4345873662,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802458,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.22 E,A101,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:32:00Z,1,A101,SRP492714
SRR28172364,OTHER,302,12821023138,PRJNA1082417,SAMN40210239,Metagenome or environmental,4165307658,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802457,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.21 E,A094,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:35:00Z,1,A094,SRP492714
SRR28172365,OTHER,302,12991153026,PRJNA1082417,SAMN40210238,Metagenome or environmental,4291696385,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802456,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.20 E,A093,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A093,SRP492714
SRR28172366,OTHER,302,15308200008,PRJNA1082417,SAMN40210237,Metagenome or environmental,4854156232,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802455,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.19 E,A092,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:31:00Z,1,A092,SRP492714
SRR28172367,OTHER,302,16832553766,PRJNA1082417,SAMN40210192,Metagenome or environmental,5719738105,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802454,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.62 N 116.18 E,A010,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:35:00Z,1,A010,SRP492714
SRR28172368,OTHER,302,12927944728,PRJNA1082417,SAMN40210236,Metagenome or environmental,4314108015,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802453,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.09 E,A090,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A090,SRP492714
SRR28172369,OTHER,302,13290538914,PRJNA1082417,SAMN40210235,Metagenome or environmental,4351449784,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802452,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.17 E,A087,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A087,SRP492714
SRR28172370,OTHER,302,13924503656,PRJNA1082417,SAMN40210234,Metagenome or environmental,4643761431,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802451,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.16 E,A086,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A086,SRP492714
SRR28172371,OTHER,302,13317992828,PRJNA1082417,SAMN40210233,Metagenome or environmental,4405983555,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802450,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.15 E,A081,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:32:00Z,1,A081,SRP492714
SRR28172372,OTHER,302,13101579628,PRJNA1082417,SAMN40210232,Metagenome or environmental,4275262295,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802449,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.14 E,A078,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:27:00Z,1,A078,SRP492714
